gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
NFE2	753625	205	59	107016	35364	0	0	0	0	50	0	2356494	1	1
NFE2L1	1205950	255	20	225120	69090	0	0	0	0	50	0	3104976	1	1
NFE2L2	372300	145	36	182826	48258	0	0	0	0	50	0	2250570	1	1
NFE2L3	910990	445	39	205002	59220	0	0	0	0	50	0	2151072	1	1
NFIA	113571	399	-8	173838	49812	0	0	0	0	50	3	2602446	1	1
NFIB	135826	563	-17	128058	35112	0	0	0	0	50	0	2951172	1	1
NFIC	2180542	222	37	153006	45570	0	0	0	0	50	0	2805936	1	1
NFIL3	150560	369	18	136668	38346	0	0	0	0	50	0	2173206	1	1
NFIX	1914702	221	41	132762	39102	0	0	0	0	50	0	2565528	1	1
NFKB1	376672	311	41	295848	82404	0	0	0	0	50	0	2388372	1	1
NFKB2	975992	178	39	267960	83706	0	0	0	0	50	0	3065160	1	1
NFKBIB	1989663	219	30	113652	30114	0	0	0	0	50	0	2577036	1	1
NFKBID	1060028	321	47	91434	31290	0	0	0	0	50	0	2276694	1	1
NFKBIE	1037256	312	54	141540	50610	0	0	0	0	50	1	2332302	1	1
NFKBIL1	2517285	220	35	111384	34524	0	0	0	0	50	0	2574852	1	1
NFKBIL2	2043455	200	36	406434	127680	0	0	0	0	50	0	1997100	1	1
NFKBIZ	550073	421	16	216510	60816	0	0	0	0	50	0	2395890	1	1
NFRKB	635581	248	-3	392196	120750	0	0	0	0	50	0	2350992	1	1
NFU1	488690	285	23	79800	20622	0	0	0	0	50	0	1891260	1	1
NFX1	909394	141	38	360276	89922	0	0	0	0	48	0	2618994	1	1
NFXL1	186668	602	41	284466	71358	0	0	0	0	50	0	1960560	1	1
NFYA	145501	611	37	105504	30576	0	0	0	0	50	0	2385600	1	1
NFYB	1222031	156	17	66486	15666	0	0	0	0	50	0	2076858	1	1
NFYC	552400	323	24	110124	29106	0	0	0	0	50	0	2442762	1	1
NGB	554839	418	37	45108	13860	0	0	0	0	50	2	2769606	1	1
NGDN	1220464	499	27	99498	25998	0	0	0	0	50	1	2816982	1	1
NGEF	404109	215	33	228102	61446	0	0	0	0	50	0	2182950	1	1
NGF	537568	558	6	70518	21462	0	0	0	0	50	0	3067554	1	1
NGFR	971109	303	31	125664	38640	0	0	0	0	50	0	2646420	1	1
NGFRAP1	448080	NaN	32	34566	8274	0	0	0	0	50	0	1986390	1	1
NGLY1	216966	701	-1	212352	53760	0	0	0	0	50	0	2711604	1	1
NGRN	1036233	139	38	86016	25620	0	0	0	0	50	0	3302166	1	1
NHEDC1	357993	363	26	180180	47628	0	0	0	0	50	0	2826348	1	1
NHEDC2	350752	454	26	160650	48258	0	0	0	0	50	1	3072552	1	1
NHEJ1	798168	177	37	91476	25200	0	0	0	0	50	0	1859340	1	1
NHLH1	987855	526	28	37296	13356	0	0	0	0	50	1	2302482	1	1
NHLH2	503800	639	9	39144	12768	0	0	0	0	50	0	2371656	1	1
NHLRC1	487819	397	-1	112266	37674	0	0	0	0	50	1	2305758	1	1
NHLRC2	266343	515	18	219198	60648	0	0	0	0	50	0	2377032	1	1
NHLRC3	150239	998	11	104958	29610	0	0	0	0	50	0	2621850	1	1
NHLRC4	1115707	213	39	34776	12096	0	0	0	0	50	0	2002056	1	1
NHP2	821697	248	39	48090	11634	0	0	0	0	50	0	2761374	1	1
NHP2L1	1475100	183	50	38892	11508	0	0	0	0	50	0	2235198	1	1
NHSL1	NaN	NaN	NaN	485478	151200	0	0	0	0	50	1	4828488	1	1
NHSL2	623448	NaN	41	354228	112476	0	0	1	0	50	2	2886786	1	1
NICN1	1585328	201	32	64554	19110	0	0	0	0	50	0	2241288	1	1
NID1	555035	318	19	372792	108780	0	0	0	0	50	1	2796276	1	1
NID2	234008	432	20	411264	119448	0	0	0	0	50	0	2395386	1	1
NIF3L1	635570	201	31	116214	29694	0	0	0	0	50	0	2019402	1	1
NINJ1	504920	448	61	45990	13608	0	0	0	0	50	0	2295510	1	1
NINJ2	456582	197	40	55566	17640	0	0	0	0	50	0	2042418	1	1
NINL	613303	454	-26	416178	118188	0	0	0	0	50	0	2229780	1	1
NIP7	1202748	125	20	54810	15624	0	0	0	0	50	0	2124948	1	1
NIPA1	352778	529	-8	95634	31374	0	0	0	0	50	1	2674350	1	1
NIPA2	352778	529	-8	107226	31752	0	0	0	0	50	1	2674350	1	1
NIPAL1	225089	474	38	122346	35784	0	0	0	0	50	0	2517354	1	1
NIPAL2	612198	462	32	113274	31752	0	0	0	0	50	0	2860326	1	1
NIPAL3	604127	325	29	124404	34482	0	0	0	0	50	0	2398200	1	1
NIPAL4	266195	1087	41	135912	43134	0	0	0	0	50	0	2119194	1	1
NIPBL	341972	479	11	865158	223734	0	0	0	0	50	0	2524914	1	1
NIPSNAP1	713942	190	39	89460	23058	0	0	0	0	50	1	2157414	1	1
NIPSNAP3A	194451	718	-21	75978	20286	0	0	0	0	50	1	2554566	1	1
NIPSNAP3B	194451	718	-21	76440	20076	0	0	0	0	50	1	2554566	1	1
NISCH	1096247	192	55	445116	133854	0	0	0	0	50	1	2902074	1	1
NIT1	689033	250	23	115080	35364	0	0	0	0	50	0	2249898	1	1
NIT2	378824	361	26	86646	22848	0	0	0	0	50	0	2496900	1	1
NKAIN1	586763	234	28	63798	17850	0	0	0	0	50	1	2896236	1	1
NKAIN2	23367	993	-28	65268	16758	0	0	0	0	50	2	2633190	1	1
NKAIN3	138003	904	-16	61362	16002	0	0	0	0	50	2	2740122	1	1
NKAIN4	1005137	285	50	63840	18438	0	0	0	0	50	1	2353680	1	1
NKAP	772178	NaN	38	126966	34314	0	0	0	0	50	0	2665404	1	1
NKAPL	273319	502	35	120666	31920	0	0	0	0	50	0	2089374	1	1
NKD1	307084	646	-6	141792	40782	0	0	0	0	50	2	2736510	1	1
NKD2	692388	484	29	136206	39438	0	0	0	0	50	0	2562630	1	1
NKG7	368509	610	-9	48972	15288	0	0	0	0	50	0	1689618	1	1
NKIRAS1	399346	319	6	59094	15372	0	0	0	0	50	0	2635836	1	1
NKIRAS2	2081077	206	23	61530	13062	0	0	0	0	50	0	2713326	1	1
NKPD1	1230654	243	41	237972	78414	0	0	0	0	50	0	2903376	1	1
NKRF	663615	NaN	48	210714	57666	0	0	0	0	50	0	2189166	1	1
NKTR	350455	445	42	445452	115626	0	0	0	0	50	0	2615424	1	1
NKX1-2	NaN	NaN	NaN	86562	31626	0	0	0	0	50	1	4708914	1	1
NKX2-1	58829	624	-18	116550	36666	0	0	0	0	50	0	2297988	1	1
NKX2-2	283479	694	-10	79338	24738	0	0	0	0	50	0	2545116	1	1
NKX2-3	278426	497	13	105546	32928	0	0	0	0	50	1	1993950	1	1
NKX2-4	283501	638	-3	99918	35028	0	0	0	0	50	2	2191518	1	1
NKX2-5	483508	458	33	104412	35448	0	0	0	0	50	1	2422350	1	1
NKX2-6	NaN	NaN	NaN	61866	21924	0	0	0	0	50	1	4699212	1	1
NKX2-8	49455	583	-20	67368	23856	0	0	0	0	50	1	2352042	1	1
NKX3-1	378220	544	16	68334	21252	0	0	0	0	50	1	2937522	1	1
NKX3-2	134006	592	24	94332	32676	0	0	0	0	50	0	2396940	1	1
NKX6-1	95574	895	-5	104706	35910	0	0	0	0	50	0	2463972	1	1
NKX6-2	278505	581	-12	79758	26838	0	0	0	0	50	1	2064090	1	1
NKX6-3	434010	533	37	39312	12852	0	0	0	0	50	0	2125998	1	1
NLE1	516190	504	23	146874	43134	0	0	0	0	50	0	2539656	1	1
NLGN1	34593	1079	-18	244398	69090	0	0	0	0	50	1	2259642	1	1
NLGN2	1906324	206	33	239820	79464	0	0	0	0	50	0	2777544	1	1
NLGN3	759088	NaN	27	248346	75600	0	0	0	0	50	0	3056970	1	1
NLGN4X	13333	NaN	-22	241794	69048	0	0	0	0	50	2	3254454	1	1
NLK	1261475	410	-3	159894	44730	0	0	0	0	50	0	1997898	1	1
NLN	407983	149	33	217182	55356	0	0	0	0	50	0	2097732	1	1
NLRC3	775547	224	39	311934	99708	0	0	0	0	50	0	2431506	1	1
NLRC4	394223	276	21	309078	82278	0	0	0	0	50	0	2811228	1	1
NLRC5	804832	154	53	562590	166824	0	0	0	0	41	0	2078958	1	1
NLRP1	1016229	605	10	444990	129444	0	0	0	0	50	0	2842686	1	1
NLRP10	105341	679	6	194754	54222	0	0	0	0	50	1	2937438	1	1
NLRP11	991833	362	-35	311220	84168	0	0	0	0	50	0	2671284	1	1
NLRP12	783610	486	-58	323568	94752	0	0	0	0	50	1	3441564	1	1
NLRP13	802494	561	-68	316260	83412	0	0	0	0	50	1	3405192	1	1
NLRP14	418263	881	-4	333690	85386	0	0	0	0	50	1	2317392	1	1
NLRP2	982889	432	-21	318570	89292	0	0	0	0	50	0	2226462	1	1
NLRP4	959325	484	-56	300300	80346	0	0	0	0	50	1	3603516	1	1
NLRP5	631041	561	-72	358176	102858	0	0	0	0	50	1	3315858	1	1
NLRP6	1463610	437	24	255234	85722	0	0	0	0	50	0	2151198	1	1
NLRP7	840563	573	-15	311094	86310	0	0	0	0	50	0	2538438	1	1
NLRP9	1024341	362	-13	300090	79170	0	0	0	0	50	0	1849974	1	1
NLRX1	1258103	195	57	294966	99162	0	0	0	0	50	0	2770446	1	1
NMB	341389	197	42	46158	14070	0	0	0	0	50	0	2347212	1	1
NMBR	152447	513	-28	115080	33978	0	0	0	0	50	0	3029754	1	1
NMD3	242883	581	-16	159936	38136	0	0	0	0	50	1	2277198	1	1
NME1	NaN	NaN	NaN	54390	14910	0	0	0	0	50	1	4692198	1	1
NME1-NME2	817798	267	-4	82194	22890	0	0	0	0	50	0	2376108	1	1
NME2	817798	267	-4	47250	12852	0	0	0	0	50	0	2376108	1	1
NME3	1604603	288	36	50610	15666	0	0	0	0	50	0	2444148	1	1
NME4	1549307	207	37	56112	17220	0	0	0	0	50	0	3062178	1	1
NME5	1044706	377	41	66276	16758	0	0	0	0	50	0	2137884	1	1
NME6	1054170	263	37	59724	16758	0	0	0	0	50	0	2144730	1	1
NME7	270055	491	12	118104	30198	0	0	0	0	50	1	2413488	1	1
NMI	215149	617	17	96768	23184	0	0	0	0	50	1	2133642	1	1
NMNAT1	744954	240	24	85638	22218	0	0	0	0	50	0	2713956	1	1
NMNAT2	769970	465	13	103572	26964	0	0	0	0	50	0	1919442	1	1
NMNAT3	224111	848	9	65184	17976	0	0	0	0	50	0	2247042	1	1
NMRAL1	751633	160	39	89796	26376	0	0	0	0	50	1	2058084	1	1
NMS	226558	642	9	51030	12222	0	0	0	0	50	0	2737854	1	1
NMT1	831501	191	28	153552	40110	0	0	0	0	50	1	2810220	1	1
NMT2	236087	620	23	154728	39690	0	0	0	0	50	0	2269512	1	1
NMU	247026	456	28	55986	14700	0	0	0	0	50	1	2061486	1	1
NMUR1	1052303	216	43	121506	40908	0	0	0	0	50	0	2994810	1	1
NMUR2	261658	955	4	123438	35322	0	0	0	0	50	0	2859150	1	1
NNAT	790368	549	52	25200	7812	0	0	0	0	23	0	979020	1	1
NNMT	162422	499	-4	78876	22554	0	0	0	0	50	0	2530668	1	1
NNT	439246	597	0	322812	98658	0	0	0	0	50	1	2686320	1	1
NOB1	1410481	NaN	39	124908	35490	0	0	0	0	50	0	3448956	1	1
NOBOX	185754	838	-7	168630	52248	0	0	0	0	50	1	2548392	1	1
NOC2L	1851188	467	3	228354	64470	0	0	0	0	50	0	2944410	1	1
NOC3L	242278	482	12	250782	62328	0	0	0	0	50	1	2162664	1	1
NOC4L	608356	528	26	156114	46872	0	0	0	0	50	0	2664984	1	1
NOD1	623997	400	37	282324	83328	0	0	0	0	50	1	2412942	1	1
NOD2	294632	792	1	305382	93660	0	0	0	0	50	0	2321046	1	1
NODAL	550900	338	42	102312	30492	0	0	0	0	50	1	2201766	1	1
NOG	268027	457	-44	66360	21714	0	0	0	0	50	0	2322306	1	1
NOL10	804107	344	32	217896	52626	0	0	0	0	50	0	2310042	1	1
NOL11	692622	197	7	222684	58296	0	0	0	0	50	0	2514036	1	1
NOL12	1136064	180	65	64680	18984	0	0	0	0	50	1	2278080	1	1
NOL3	1109491	150	46	74508	11424	0	0	0	0	50	0	2250444	1	1
NOL4	10823	966	-14	195174	51408	0	0	0	0	50	3	2847558	1	1
NOL6	1001877	166	4	338016	108402	0	0	0	0	50	0	2009154	1	1
NOL7	277395	425	37	81102	20454	0	0	0	0	50	1	2413152	1	1
NOL8	527573	574	45	360864	88704	0	0	0	0	50	0	2336250	1	1
NOL9	636407	203	41	209496	62034	0	0	0	0	50	2	2468466	1	1
NOLC1	1041024	187	45	212898	57750	0	0	0	0	50	0	3390072	1	1
NOM1	386240	474	22	258846	71904	0	0	0	0	50	2	3440262	1	1
NOMO1	518442	343	19	372036	105630	0	0	0	0	50	0	2391732	1	1
NOMO2	707984	675	17	385602	110082	0	0	0	0	50	1	2421888	1	1
NOMO3	368918	346	15	371490	105924	0	0	0	0	50	0	2929920	1	1
NONO	728362	NaN	26	145320	38136	0	0	0	0	50	0	3392004	1	1
NOP10	542657	234	22	19950	5376	0	0	0	0	50	1	2223186	1	1
NOP14	680459	336	49	264768	68880	0	0	0	0	50	0	2071146	1	1
NOP16	576954	347	45	55188	14364	0	0	0	0	50	0	2467458	1	1
NOP2	2764720	179	42	242550	70812	0	0	0	0	17	0	861840	1	1
NOP56	792941	450	48	180852	50106	0	0	0	0	50	0	3002538	1	1
NOP58	386034	270	50	166278	41118	0	0	0	0	50	0	2313402	1	1
NOS1	201056	259	13	433776	122262	0	0	0	0	50	0	2099706	1	1
NOS1AP	372116	410	2	157500	45234	0	0	0	0	50	0	2429364	1	1
NOS2	474206	541	-22	352170	97146	0	0	0	0	50	1	2387238	1	1
NOS3	698665	373	33	384426	119070	0	0	0	0	50	0	2875782	1	1
NOSIP	2080142	210	41	91098	27216	0	0	0	0	50	0	2575944	1	1
NOSTRIN	169372	724	12	179718	42042	0	0	0	0	50	0	2632392	1	1
NOTCH2	429750	510	14	749196	201852	0	0	0	0	50	0	2716812	1	1
NOTCH2NL	NaN	NaN	NaN	72870	18732	0	0	0	0	50	1	4696020	1	1
NOTCH4	2119974	392	28	591444	181188	0	0	0	0	50	0	2804802	1	1
NOTO	NaN	NaN	NaN	72114	24150	0	0	0	0	50	1	4701438	1	1
NOTUM	3814891	211	28	149478	43428	0	0	0	0	50	0	2105334	1	1
NOV	261913	519	-14	107562	29778	0	0	0	0	50	1	3002958	1	1
NOVA1	15854	883	-41	149100	48594	0	0	0	0	50	0	1984836	1	1
NOVA2	866240	261	42	138852	49266	0	0	0	0	50	0	3211992	1	1
NOX1	352830	NaN	29	173670	45948	0	0	0	0	50	0	2735292	1	1
NOX3	108543	628	13	174552	47208	0	0	0	0	50	0	2525712	1	1
NOX4	30048	1071	-25	180978	46452	0	0	0	0	50	4	3636318	1	1
NOX5	370981	394	26	238434	67242	0	0	0	0	50	0	2676702	1	1
NOXA1	1591716	213	30	144060	45948	0	0	0	0	50	0	2395218	1	1
NOXO1	1747301	183	46	109116	37422	0	0	0	0	50	0	2257794	1	1
NPAS1	1175364	207	35	170730	57708	0	0	0	0	50	0	2296224	1	1
NPAS2	339144	406	14	251874	70056	0	0	0	0	50	0	2629620	1	1
NPAS3	24372	929	-23	282828	82950	0	0	0	0	50	2	2596020	1	1
NPAS4	1963418	182	55	234234	72828	0	0	0	0	50	0	2475732	1	1
NPAT	411907	695	26	429408	119196	0	0	0	0	50	0	2822610	1	1
NPB	3798594	211	19	34902	13482	0	0	0	0	50	0	2179926	1	1
NPBWR1	99395	697	-19	91392	32844	0	0	0	0	50	0	3009930	1	1
NPBWR2	1032302	312	51	93324	32802	0	0	0	0	50	1	2459100	1	1
NPC1	347696	164	64	388080	107478	0	0	0	0	50	0	2576238	1	1
NPC1L1	1577451	363	49	399168	124740	0	0	0	0	50	2	2801106	1	1
NPC2	749329	384	31	47250	12222	0	0	0	0	50	0	2599044	1	1
NPDC1	1951939	202	40	95004	32256	0	0	0	0	50	0	2523822	1	1
NPEPL1	1026997	504	15	140112	44352	0	0	0	0	50	0	2289336	1	1
NPEPPS	1229549	176	18	282492	76356	0	0	0	0	5	0	220626	1	1
NPFF	1469374	191	55	34314	10038	0	0	0	0	50	0	2201934	1	1
NPFFR1	552278	225	44	124110	40446	0	0	0	0	50	0	2297358	1	1
NPFFR2	17885	811	3	157878	42084	0	0	0	0	50	1	2576826	1	1
NPHP1	NaN	NaN	NaN	228312	58968	0	0	0	0	50	1	4736256	1	1
NPHP3	211862	768	24	407652	108822	0	0	0	0	50	0	2511096	1	1
NPHP4	508577	370	13	423822	130200	0	0	0	0	50	0	2849028	1	1
NPHS1	1060028	321	47	367836	115752	0	0	0	0	50	0	2276694	1	1
NPHS2	585744	613	-14	114240	34692	0	0	0	0	50	0	2108064	1	1
NPIP	506128	214	23	106764	29694	0	0	0	0	50	0	2036958	1	1
NPIPL3	499242	417	49	322770	110166	0	0	0	0	50	0	2694426	1	1
NPL	651460	626	22	100338	26544	0	0	0	0	50	1	2061360	1	1
NPLOC4	3705166	205	21	188160	50106	0	0	0	0	50	0	2158716	1	1
NPM1	300840	347	30	95886	22050	0	0	0	0	50	0	2370018	1	1
NPM2	576057	222	41	68586	16716	0	0	0	0	50	1	2216508	1	1
NPM3	817474	335	37	55062	15498	0	0	0	0	50	0	2383752	1	1
NPNT	262174	361	7	187110	51156	0	0	0	0	50	0	2156406	1	1
NPPA	519155	207	43	45024	13692	0	0	0	0	50	0	2206848	1	1
NPPB	519155	207	43	39312	12978	0	0	0	0	50	0	2206848	1	1
NPPC	893534	439	33	35574	12936	0	0	0	0	50	0	2642220	1	1
NPR1	1656449	183	40	315042	96978	0	0	0	0	50	0	2510634	1	1
NPR2	885056	190	51	320754	94668	0	0	0	0	50	1	2325246	1	1
NPR3	477035	487	-15	160902	47124	0	0	0	0	50	1	2679852	1	1
NPRL2	843769	206	51	117852	31206	0	0	0	0	50	1	2415336	1	1
NPRL3	1005761	238	36	171402	50484	0	0	0	0	50	0	1961274	1	1
NPS	470657	703	-30	27804	7728	0	0	0	0	50	1	2200842	1	1
NPSR1	106021	949	0	124572	34062	0	0	0	0	50	0	2898168	1	1
NPTN	310307	416	20	121086	33768	0	0	0	0	50	0	2841174	1	1
NPTX1	755391	222	23	126882	38808	0	0	0	0	50	0	2679516	1	1
NPTX2	545145	560	20	125286	40026	0	0	0	0	50	0	2268210	1	1
NPTXR	1317460	358	54	142128	49266	0	0	0	0	50	1	2236080	1	1
NPVF	254553	444	32	60438	15288	0	0	0	0	50	2	2976246	1	1
NPW	1747301	183	46	44856	18396	0	0	0	0	50	0	2257794	1	1
NPY	148162	478	6	29148	9156	0	0	0	0	50	1	2151954	1	1
NPY1R	74427	1197	-18	115080	30954	0	0	0	0	50	2	2576070	1	1
NPY2R	49938	944	-5	111552	33348	0	0	0	0	50	0	2363004	1	1
NPY5R	74427	1197	-18	132384	36708	0	0	0	0	50	2	2576070	1	1
NQO1	1410481	NaN	39	84420	22050	0	0	0	0	50	0	3448956	1	1
NQO2	430294	268	42	71736	18984	0	0	0	0	50	0	2254392	1	1
NR0B1	73561	NaN	28	136458	42336	0	0	0	0	50	0	3157014	1	1
NR0B2	1025094	188	34	73668	24360	0	0	0	0	50	1	2178288	1	1
NR1D1	1573630	202	28	202776	54012	0	0	0	0	50	0	2524368	1	1
NR1D2	395355	211	2	178542	44226	0	0	0	0	50	1	2491902	1	1
NR1H2	1072052	528	26	137550	40740	0	0	0	0	50	1	2214156	1	1
NR1H3	1274054	198	38	135492	38388	0	0	0	0	50	0	2171148	1	1
NR1H4	191698	787	-6	146916	36414	0	0	0	0	50	0	2330580	1	1
NR1I2	422482	474	24	144144	39312	0	0	0	0	50	2	3498390	1	1
NR1I3	731911	229	39	120834	33264	0	0	0	0	50	0	2805306	1	1
NR2C1	365826	544	27	194082	50106	0	0	0	0	50	0	2492028	1	1
NR2C2	483299	400	43	187950	51954	0	0	0	0	50	0	2258172	1	1
NR2C2AP	940952	232	17	43344	11844	0	0	0	0	50	0	2435664	1	1
NR2E1	334933	436	35	116508	33432	0	0	0	0	50	1	2305716	1	1
NR2E3	1039394	440	25	122514	36750	0	0	0	0	50	1	3399480	1	1
NR2F1	263987	505	-1	123858	37422	0	0	0	0	50	0	2270226	1	1
NR2F2	94682	983	-22	127512	36792	0	0	0	0	50	2	3422328	1	1
NR2F6	865138	212	38	115836	38766	0	0	0	0	50	0	2225622	1	1
NR3C1	138106	270	41	238812	65982	0	0	0	0	50	0	2402106	1	1
NR3C2	73880	914	-15	292992	83370	0	0	0	0	50	3	2608578	1	1
NR4A2	117105	440	4	178920	50526	0	0	0	0	50	0	1802556	1	1
NR4A3	280636	538	8	195930	58590	0	0	0	0	50	2	2768892	1	1
NR5A2	120174	616	-8	164598	43806	0	0	0	0	50	1	2338392	1	1
NR6A1	892645	345	29	147672	38682	0	0	0	0	50	0	2444820	1	1
NRAP	195180	587	1	539700	135534	0	0	0	0	50	0	2420964	1	1
NRARP	1724821	399	43	33180	10290	0	0	0	0	50	0	1962744	1	1
NRAS	600650	472	11	59094	15246	0	0	0	0	50	0	2481066	1	1
NRBF2	219747	715	8	87528	22848	0	0	0	0	50	0	2544402	1	1
NRBP1	1244404	179	39	166278	44898	0	0	0	0	50	0	2550954	1	1
NRBP2	2376841	247	22	156156	42168	0	0	0	0	50	0	3441480	1	1
NRCAM	441225	682	1	405174	106764	0	0	0	0	50	0	2151072	1	1
NRD1	707583	382	16	380856	96684	0	0	0	0	50	0	2367708	1	1
NRF1	459189	253	32	150486	45444	0	0	0	0	50	0	2134398	1	1
NRG2	749094	290	57	257712	79968	0	0	0	0	50	0	1853166	1	1
NRG3	5107	1174	-53	229026	69216	0	0	0	0	50	0	2795688	1	1
NRG4	467195	406	28	37338	9030	0	0	0	0	50	0	2584932	1	1
NRGN	168652	622	14	23562	7308	0	0	0	0	4	0	150108	1	1
NRIP1	103852	526	8	343896	94206	0	0	0	0	50	0	2724792	1	1
NRIP2	495532	443	28	84210	25158	0	0	0	0	50	1	2566746	1	1
NRIP3	595760	357	33	73458	21042	0	0	0	0	50	2	3103758	1	1
NRK	18768	NaN	2	481698	130788	0	0	0	0	50	0	2345154	1	1
NRL	992350	355	19	66948	24024	0	0	0	0	50	0	2510298	1	1
NRM	2115149	171	41	74928	26250	0	0	0	0	50	1	2728446	1	1
NRN1	49114	693	17	43050	12012	0	0	1	0	0	1	12012	1	1
NRN1L	879834	158	50	47712	16296	0	0	0	0	50	0	2803710	1	1
NRP1	360090	488	-9	284340	74382	0	0	0	0	50	1	3051636	1	1
NRP2	278279	567	5	312270	86898	0	0	0	0	50	0	2718114	1	1
NRSN1	349698	825	-21	58002	17094	0	0	0	0	50	0	2045988	1	1
NRSN2	879317	185	41	59682	18816	0	0	0	0	50	0	2471658	1	1
NRTN	1217326	294	35	54222	21126	0	0	0	0	50	0	2145990	1	1
NRXN1	8891	1372	-25	490896	138222	0	0	0	0	50	1	1979418	1	1
NRXN2	1897094	411	56	522942	168798	0	0	0	0	50	0	2395428	1	1
NRXN3	21523	905	-32	355866	97482	0	0	0	0	50	0	2025282	1	1
NSA2	418815	581	30	80640	20790	0	0	0	0	50	0	2201010	1	1
NSD1	948717	227	42	806274	224280	0	0	0	0	50	0	2986788	1	1
NSDHL	211215	NaN	5	112980	31920	0	0	0	0	50	0	2824878	1	1
NSF	525541	203	12	231798	59892	0	0	0	0	50	2	2941932	1	1
NSFL1C	397239	386	42	113526	30744	0	0	0	0	50	0	2676828	1	1
NSL1	365714	364	26	97314	23520	0	0	0	0	50	0	2660448	1	1
NSMAF	200152	574	17	305550	76230	0	0	0	0	50	0	1877904	1	1
NSMCE1	227767	448	27	84042	20412	0	0	0	0	50	0	1903062	1	1
NSMCE2	328239	420	38	78330	18438	0	0	0	0	50	0	2648226	1	1
NSMCE4A	249185	396	25	119196	32004	0	0	0	0	50	0	2509122	1	1
NSUN2	253355	585	6	237972	61656	0	0	0	0	50	0	2462880	1	1
NSUN3	85578	1378	-9	103278	28140	0	0	0	0	50	1	2847558	1	1
NSUN4	597667	255	28	113694	34356	0	0	0	0	50	0	2668932	1	1
NSUN5	902769	422	52	142128	41580	0	0	0	0	50	0	2801358	1	1
NSUN6	74263	512	-4	143472	39228	0	0	0	0	50	0	2845920	1	1
NSUN7	238024	202	47	216720	60606	0	0	0	0	50	0	2149812	1	1
NT5C	1511891	168	25	60648	17976	0	0	0	0	50	0	2201388	1	1
NT5C1A	974845	388	36	109830	32172	0	0	0	0	50	1	1977024	1	1
NT5C1B	39949	1075	-7	183246	52248	0	0	0	0	50	0	2268084	1	1
NT5C2	562038	150	47	177030	43974	0	0	0	0	50	0	2105250	1	1
NT5C3	376609	359	13	109242	27720	0	0	0	0	50	0	2872086	1	1
NT5C3L	1760409	175	35	93870	24192	0	0	0	0	50	0	2473338	1	1
NT5DC1	260580	640	19	142548	35616	0	0	0	0	50	1	2178330	1	1
NT5DC2	1114087	192	48	182322	51156	0	0	0	0	50	0	2521386	1	1
NT5DC3	1181243	358	15	171024	43302	0	0	0	0	50	0	2646966	1	1
NT5E	393239	321	13	172578	48804	0	0	0	0	50	0	2910894	1	1
NT5M	900505	220	15	68250	20328	0	0	0	0	50	0	2631720	1	1
NTAN1	564013	463	22	96264	26082	0	0	0	0	50	0	2166654	1	1
NTF3	28523	735	17	79842	23352	0	0	0	0	50	1	2415756	1	1
NTF4	2070141	200	35	58716	21546	0	0	0	0	50	0	2140446	1	1
NTHL1	1747301	183	46	92862	28224	0	0	0	0	50	0	2257794	1	1
NTM	9703	1115	-5	117012	33558	0	0	0	0	50	0	2797284	1	1
NTN1	128482	632	-7	180810	50904	0	0	0	0	50	2	3133788	1	1
NTN3	2085452	321	49	165354	57036	0	0	0	0	50	0	2483460	1	1
NTN4	461515	237	7	192234	50064	0	0	0	0	50	1	2983722	1	1
NTN5	1597109	242	31	141456	46788	0	0	0	0	50	0	2451750	1	1
NTNG1	78332	877	-17	176610	47418	0	0	0	0	50	0	2571996	1	1
NTNG2	361444	509	37	158466	45276	0	0	0	0	50	0	2122932	1	1
NTRK1	1505782	208	45	258678	77112	0	0	0	0	50	1	2837814	1	1
NTRK2	17424	692	1	264768	69888	0	0	0	0	50	0	2472918	1	1
NTRK3	124519	730	-57	283122	76230	0	0	0	0	50	0	2790144	1	1
NTS	22180	677	-32	53592	12558	0	0	0	0	50	0	2771580	1	1
NTSR1	1286411	208	27	120834	39060	0	0	0	0	50	0	2772588	1	1
NTSR2	219483	336	21	116802	40320	0	0	0	0	50	0	2409120	1	1
NUAK1	143018	473	7	196812	56448	0	0	0	0	50	1	2124822	1	1
NUAK2	664542	178	30	184296	56490	0	0	0	0	50	0	1938552	1	1
NUB1	604407	282	42	186942	47670	0	0	0	0	50	1	2302062	1	1
NUBP1	257980	356	37	100422	26208	0	0	0	0	50	0	2117052	1	1
NUBP2	1604603	288	36	80808	25284	0	0	0	0	50	0	2444148	1	1
NUBPL	335822	583	-7	98406	27846	0	0	0	0	50	0	1841616	1	1
NUCB1	1927185	211	43	141876	38808	0	0	0	0	50	0	2425920	1	1
NUCB2	522189	387	19	136542	28518	0	0	0	0	50	0	2602656	1	1
NUCKS1	732566	281	35	77406	17850	0	0	0	0	50	0	2796192	1	1
NUDC	1025094	188	34	103656	25872	0	0	0	0	50	1	2178288	1	1
NUDCD1	134762	731	17	183540	46158	0	0	0	0	50	0	2403618	1	1
NUDCD2	226025	696	12	48426	13062	0	0	0	0	50	0	2180094	1	1
NUDCD3	1535714	363	52	109578	29778	0	0	0	0	50	2	3040674	1	1
NUDT1	814176	430	38	56406	14406	0	0	0	0	50	0	2071734	1	1
